clay	CEC [meq/100g]	treated_cec	layer_na	layer_ca	layer_k	layer_li	4_mg	4_al	4_si	8_al	8_fe	8_mg	8_ti	8_mn	8_li	OH	F	Li_ex	g1(organocation)	g1_smiles	g1_mw	g1_dp	g1_atomcount	g1_exchange	exchange_ratio	g2(adsorbate)	g2_smiles	g2_mw	g2_dp	g2_logp	g2_atomcount	temp	equilibrium concentration [mg/L]	adsorbed amount [g/kg]	メモ
Montmorillonite	90	90	0.49	0.2	0.02	0	0.13	1.04	7.48	3.24	0.26	0.54	0	0	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	81	0.9	benzene	c1ccccc1	78	0	2.18	12	293	4.81	12.105	産地：SAC
Montmorillonite	90	90	0.49	0.2	0.02	0	0.13	1.04	7.48	3.24	0.26	0.54	0	0	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	81	0.9	benzene	c1ccccc1	78	0	2.18	12	293	61.13	35.989	
Montmorillonite	90	90	0.49	0.2	0.02	0	0.13	1.04	7.48	3.24	0.26	0.54	0	0	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	81	0.9	benzene	c1ccccc1	78	0	2.18	12	293	163.53	45.05	
Montmorillonite	90	90	0.49	0.2	0.02	0	0.13	1.04	7.48	3.24	0.26	0.54	0	0	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	81	0.9	benzene	c1ccccc1	78	0	2.18	12	293	284.38	51.618	
Montmorillonite	90	90	0.49	0.2	0.02	0	0.13	1.04	7.48	3.24	0.26	0.54	0	0	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	81	0.9	benzene	c1ccccc1	78	0	2.18	12	293	437.48	53.992	
Montmorillonite	90	90	0.49	0.2	0.02	0	0.13	1.04	7.48	3.24	0.26	0.54	0	0	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	81	0.9	benzene	c1ccccc1	78	0	2.18	12	293	583.84	57.769	
Montmorillonite	90	90	0.49	0.2	0.02	0	0.13	1.04	7.48	3.24	0.26	0.54	0	0	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	81	0.9	benzene	c1ccccc1	78	0	2.18	12	293	742.4	60.043	
Montmorillonite	90	90	0.49	0.2	0.02	0	0.13	1.04	7.48	3.24	0.26	0.54	0	0	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	81	0.9	benzene	c1ccccc1	78	0	2.18	12	293	890.96	63.662	
Nontronite	107	107	0	0.36	0.01	0	0.18	0.91	7.09	0.61	3.08	0.24	0.07	0	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	86	0.8	benzene	c1ccccc1	78	0	2.18	12	293	48.93	6.686	産地：SWa、ノントロナイト：黄色～やや黄緑色。角閃石や輝石が分解したものです。珪酸塩鉱物。
Nontronite	107	107	0	0.36	0.01	0	0.18	0.91	7.09	0.61	3.08	0.24	0.07	0	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	86	0.8	benzene	c1ccccc1	78	0	2.18	12	293	225.81	16.199	
Nontronite	107	107	0	0.36	0.01	0	0.18	0.91	7.09	0.61	3.08	0.24	0.07	0	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	86	0.8	benzene	c1ccccc1	78	0	2.18	12	293	365.87	20.47	
Nontronite	107	107	0	0.36	0.01	0	0.18	0.91	7.09	0.61	3.08	0.24	0.07	0	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	86	0.8	benzene	c1ccccc1	78	0	2.18	12	293	498.54	25.232	
Nontronite	107	107	0	0.36	0.01	0	0.18	0.91	7.09	0.61	3.08	0.24	0.07	0	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	86	0.8	benzene	c1ccccc1	78	0	2.18	12	293	662.59	29.407	
Nontronite	107	107	0	0.36	0.01	0	0.18	0.91	7.09	0.61	3.08	0.24	0.07	0	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	86	0.8	benzene	c1ccccc1	78	0	2.18	12	293	804.49	31.146	
Nontronite	107	107	0	0.36	0.01	0	0.18	0.91	7.09	0.61	3.08	0.24	0.07	0	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	86	0.8	benzene	c1ccccc1	78	0	2.18	12	293	964.14	33.499	
Nontronite	107	107	0	0.36	0.01	0	0.18	0.91	7.09	0.61	3.08	0.24	0.07	0	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	86	0.8	benzene	c1ccccc1	78	0	2.18	12	293	1115.91	36.569	
Montmorillonite	130	130	0.36	0.39	0.02	0	0	0	8	2.71	0.12	1.11	0.03	0.01	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	101	0.78	benzene	c1ccccc1	78	0	2.18	12	293	121.54	6.355	産地：SAz
Montmorillonite	130	130	0.36	0.39	0.02	0	0	0	8	2.71	0.12	1.11	0.03	0.01	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	101	0.78	benzene	c1ccccc1	78	0	2.18	12	293	245.15	13.294	
Montmorillonite	130	130	0.36	0.39	0.02	0	0	0	8	2.71	0.12	1.11	0.03	0.01	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	101	0.78	benzene	c1ccccc1	78	0	2.18	12	293	386.28	17.252	
Montmorillonite	130	130	0.36	0.39	0.02	0	0	0	8	2.71	0.12	1.11	0.03	0.01	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	101	0.78	benzene	c1ccccc1	78	0	2.18	12	293	548.08	19.812	
Montmorillonite	130	130	0.36	0.39	0.02	0	0	0	8	2.71	0.12	1.11	0.03	0.01	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	101	0.78	benzene	c1ccccc1	78	0	2.18	12	293	696.88	22.737	
Montmorillonite	130	130	0.36	0.39	0.02	0	0	0	8	2.71	0.12	1.11	0.03	0.01	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	101	0.78	benzene	c1ccccc1	78	0	2.18	12	293	848.58	25.179	
Montmorillonite	130	130	0.36	0.39	0.02	0	0	0	8	2.71	0.12	1.11	0.03	0.01	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	101	0.78	benzene	c1ccccc1	78	0	2.18	12	293	980.26	31.144	
Montmorillonite	130	130	0.36	0.39	0.02	0	0	0	8	2.71	0.12	1.11	0.03	0.01	0	4	0	0	Trimethylphenylammonium	C[N+](C)(C)c1ccccc1	136	2.8113	24	101	0.78	benzene	c1ccccc1	78	0	2.18	12	293	1129.9	34.841	
